label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,70,insects,25,26,35.71,96.15,52.08,58,58,0.061071,0,23,25,1,19,2
3,59,mammals,29,30,49.15,96.67,65.17,58,58,0.061071,28,0,0,29,0,2
4,31,mammals,28,30,90.32,93.33,91.8,8,8,0.139887,3,0,0,28,0,0
5,27,birds,25,30,92.59,83.33,87.72,25,25,0.052402,25,0,0,0,0,2
6,3,mammals,3,30,100.0,10.0,18.18,9,9,0.072553,0,0,0,3,0,0
7,29,insects,23,26,79.31,88.46,83.64,2,2,0.296714,0,3,23,0,2,1
8,14,reptiles,11,20,78.57,55.0,64.71,45,45,0.065435,0,1,1,0,11,1
9,1,birds,1,30,100.0,3.33,6.45,1,1,0.004107,1,0,0,0,0,0
10,4,birds,4,30,100.0,13.33,23.53,1,1,0.086242,4,0,0,0,0,0
11,23,birds,21,30,91.3,70.0,79.25,1,1,0.086242,21,0,0,0,0,2
12,2,insects,2,26,100.0,7.69,14.29,8,8,0.046201,0,0,2,0,0,0
13,5,reptiles,4,20,80.0,20.0,32.0,2,2,0.035935,0,1,0,0,4,0
14,18,insects,16,26,88.89,61.54,72.73,2,2,0.039014,0,2,16,0,0,0
