label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,10,mammals,5,30,50.0,16.67,25.0,23,23,0.060977,0,1,0,5,4,0
3,21,mammals,21,30,100.0,70.0,82.35,23,23,0.060977,0,0,0,21,0,0
4,24,insects,23,26,95.83,88.46,92.0,44,44,0.052361,0,0,23,0,0,1
5,9,birds,4,30,44.44,13.33,20.51,1,1,0.082136,4,0,0,0,4,1
6,3,reptiles,3,20,100.0,15.0,26.09,1,1,0.412731,0,0,0,0,3,0
7,5,reptiles,5,20,100.0,25.0,40.0,7,7,0.036668,0,0,0,0,5,0
8,26,mammals,22,30,84.62,73.33,78.57,1,1,0.059548,0,0,0,22,4,0
9,21,birds,14,30,66.67,46.67,54.9,1,1,0.020534,14,2,0,0,3,2
10,11,birds,7,30,63.64,23.33,34.15,45,45,0.098973,7,3,0,0,0,1
11,22,insects,21,26,95.45,80.77,87.5,3,3,0.312115,0,0,21,0,0,1
12,2,insects,2,26,100.0,7.69,14.29,3,3,0.312115,0,0,2,0,0,0
13,29,fish,16,23,55.17,69.57,61.54,3,3,0.12115,11,16,1,0,0,1
14,14,fish,13,23,92.86,56.52,70.27,23,23,0.05562,0,13,1,0,0,0
15,20,birds,13,30,65.0,43.33,52.0,47,47,0.057233,13,2,0,0,4,1
16,27,reptiles,11,20,40.74,55.0,46.81,47,47,0.057233,8,3,0,4,11,1
17,16,mammals,16,30,100.0,53.33,69.57,2,2,0.062629,0,0,0,16,0,0
18,1,fish,1,23,100.0,4.35,8.33,7,7,0.119097,0,1,0,0,0,0
19,3,birds,3,30,100.0,10.0,18.18,3,3,0.312115,3,0,0,0,0,0
20,4,birds,3,30,75.0,10.0,17.65,2,2,0.264888,3,0,0,0,1,0
21,36,birds,13,30,36.11,43.33,39.39,3,3,0.237508,13,5,0,4,12,2
22,3,reptiles,3,20,100.0,15.0,26.09,4,4,0.188911,0,0,0,0,3,0
23,16,birds,7,30,43.75,23.33,30.43,2,2,0.264888,7,1,0,2,5,1
24,27,reptiles,11,20,40.74,55.0,46.81,1,1,0.045175,8,3,0,4,11,1
