label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,birds,fish,insects,mammals,reptiles,unknown
2,45,insects,26,26,57.78,100.0,73.24,78,78,0.081197,19,0,26,0,0,0
3,22,fish,22,23,100.0,95.65,97.78,32,32,0.071528,0,22,0,0,0,0
4,37,reptiles,20,20,54.05,100.0,70.18,75,75,0.083259,11,0,0,6,20,0
5,2,birds,2,30,100.0,6.67,12.5,6,6,0.144444,2,0,0,0,0,0
6,17,birds,15,30,88.24,50.0,63.83,6,6,0.144444,15,0,2,0,0,0
7,23,insects,23,26,100.0,88.46,93.88,13,13,0.042735,0,0,23,0,0,0
8,32,mammals,28,30,87.5,93.33,90.32,6,6,0.237037,0,1,0,28,3,0
9,14,fish,14,23,100.0,60.87,75.68,38,38,0.067251,0,14,0,0,0,0
10,33,mammals,24,30,72.73,80.0,76.19,48,48,0.071759,0,9,0,24,0,0
11,1,mammals,1,30,100.0,3.33,6.45,2,2,0.177778,0,0,0,1,0,0
12,16,reptiles,11,20,68.75,55.0,61.11,23,23,0.052174,0,0,0,5,11,0
13,1,insects,1,26,100.0,3.85,7.41,1,1,0.111111,0,0,1,0,0,0
14,14,birds,13,30,92.86,43.33,59.09,23,23,0.113043,13,0,1,0,0,0
15,18,reptiles,16,20,88.89,80.0,84.21,1,1,0.622222,0,0,0,2,16,0
16,18,mammals,9,30,50.0,30.0,37.5,7,7,0.038095,0,9,0,9,0,0
17,23,mammals,22,30,95.65,73.33,83.02,5,5,0.106667,0,1,0,22,0,0
18,15,reptiles,9,20,60.0,45.0,51.43,7,7,0.053968,5,0,0,1,9,0
19,6,birds,6,30,100.0,20.0,33.33,3,3,0.02963,6,0,0,0,0,0
20,11,insects,11,26,100.0,42.31,59.46,2,2,0.111111,0,0,11,0,0,0
21,12,insects,12,26,100.0,46.15,63.16,3,3,0.17037,0,0,12,0,0,0
22,1,fish,1,23,100.0,4.35,8.33,11,11,0.147475,0,1,0,0,0,0
