label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
2,36,musical instruments,25,26,69.44,96.15,80.65,6,6,0.173324,8,2,25,0,0,0,1
3,71,clothing,29,29,40.85,100.0,58.0,9,9,0.207683,29,12,26,2,0,0,2
4,11,kitchen utensils,8,33,72.73,24.24,36.36,9,9,0.207683,0,8,0,3,0,0,0
5,29,vehicles,27,28,93.1,96.43,94.74,8,8,0.147038,0,0,0,1,27,1,0
6,29,vehicles,27,28,93.1,96.43,94.74,21,21,0.063295,0,0,0,1,27,1,0
7,4,clothing,4,29,100.0,13.79,24.24,15,15,0.092929,4,0,0,0,0,0,0
8,7,weapons,6,18,85.71,33.33,48.0,2,2,0.088154,0,0,0,0,1,6,0
9,17,clothing,17,29,100.0,58.62,73.91,1,1,0.071625,17,0,0,0,0,0,0
10,14,kitchen utensils,10,33,71.43,30.3,42.55,1,1,0.212121,0,10,1,2,0,0,1
11,1,kitchen utensils,1,33,100.0,3.03,5.88,1,1,0.212121,0,1,0,0,0,0,0
12,11,musical instruments,10,26,90.91,38.46,54.05,3,3,0.198806,1,0,10,0,0,0,0
13,15,kitchen utensils,12,33,80.0,36.36,50.0,1,1,0.078512,0,12,0,3,0,0,0
14,46,tools,21,28,45.65,75.0,56.76,9,9,0.207683,0,13,0,21,2,10,0
15,9,weapons,7,18,77.78,38.89,51.85,9,9,0.207683,0,0,0,1,1,7,0
16,3,weapons,2,18,66.67,11.11,19.05,5,5,0.067493,0,0,0,1,0,2,0
17,8,clothing,8,29,100.0,27.59,43.24,12,12,0.100436,8,0,0,0,0,0,0
18,28,clothing,27,29,96.43,93.1,94.74,2,2,0.158403,27,1,0,0,0,0,0
19,29,musical instruments,25,26,86.21,96.15,90.91,2,2,0.158403,2,1,25,0,0,0,1
20,1,clothing,1,29,100.0,3.45,6.67,1,1,0.033058,1,0,0,0,0,0,0
21,19,musical instruments,15,26,78.95,57.69,66.67,3,3,0.198806,0,2,15,1,0,0,1
22,12,vehicles,11,28,91.67,39.29,55.0,9,9,0.207683,0,0,0,1,11,0,0
23,3,vehicles,3,28,100.0,10.71,19.35,9,9,0.207683,0,0,0,0,3,0,0
24,1,vehicles,1,28,100.0,3.57,6.9,21,21,0.152368,0,0,0,0,1,0,0
25,17,tools,9,28,52.94,32.14,40.0,8,8,0.094525,0,6,0,9,0,2,0
26,21,tools,10,28,47.62,35.71,40.82,8,8,0.094525,0,6,0,10,0,5,0
27,12,vehicles,11,28,91.67,39.29,55.0,1,1,0.093664,0,0,0,1,11,0,0
28,8,vehicles,7,28,87.5,25.0,38.89,9,9,0.207683,0,0,0,0,7,1,0
29,5,vehicles,5,28,100.0,17.86,30.3,9,9,0.207683,0,0,0,0,5,0,0
30,2,clothing,2,29,100.0,6.9,12.9,6,6,0.07461,2,0,0,0,0,0,0
31,5,kitchen utensils,4,33,80.0,12.12,21.05,2,2,0.044766,0,4,0,1,0,0,0
32,9,clothing,9,29,100.0,31.03,47.37,4,4,0.072658,9,0,0,0,0,0,0
33,9,vehicles,8,28,88.89,28.57,43.24,2,2,0.124656,0,0,0,0,8,1,0
34,12,tools,5,28,41.67,17.86,25.0,5,5,0.146557,0,3,0,5,0,4,0
35,4,kitchen utensils,2,33,50.0,6.06,10.81,4,4,0.172521,0,2,0,1,0,1,0
36,7,vehicles,7,28,100.0,25.0,40.0,3,3,0.040863,0,0,0,0,7,0,0
37,4,vehicles,4,28,100.0,14.29,25.0,1,1,0.046832,0,0,0,0,4,0,0
